,APINumber,WellName,CountyName,OperatorName,StateName,TotalBaseNonWaterVolume
7643,37131203790000,SHAMROCK WYO 3H,Wyoming,"Chesapeake Operating, Inc.",Pennsylvania,534407.0
7644,42109327140000,Comanche 46 #14,Culberson,"Cambrian Management, Ltd",Texas,16845.0
7645,42203352140000,Kingstree Ranch GU E Allocation #3H,Harrison,BP America Production Company,Texas,29842.0
7646,42479427990000,PGE BROWNE H 2H,Webb,"Chesapeake Operating, Inc.",Texas,506613.0
7647,43013527620000,GMBU M-2-9-17,Duchesne,Newfield Exploration,Utah,675.0
7648,47017063250000,WEU6 - 513347,Doddridge,EQT Production,West Virginia,390928.0
7650,42501015470000,CU #3150,Yoakum,XTO Energy/ExxonMobil,Texas,8603.0
7651,35137272590000,WRIGHT 1-3H,Stephens,"Vitruvian Exploration II, LLC",Oklahoma,91100.0
7652,42107318940000,Clark Wood Ranch F520,Crosby,"Juno Operating Company II, LLC",Texas,1939.0
7653,42135423580000,Goldsmith Andector Z25,Ector,ConocoPhillips Company/Burlington Resources,Texas,20205.0
7654,42461394130000,Powell 23 #3,Upton,Legacy Reserves Operating LP,Texas,23545.0
7655,42357000000000,DICKINSON 311 - # 2H,Ochiltree,"Hadaway Consulting and Engineering, LLC",Texas,93345.0
7656,35029212630000,Gravitt #3H-21,Coal,"Pablo Energy II, LLC",Oklahoma,128044.0
7657,35029212640000,Gravitt 4H-21,Coal,"Pablo Energy II, LLC",Oklahoma,40963.0
7658,42227380260000,Young 2113,Howard,Three Rivers Operating Co II LLC,Texas,63605.0
7659,47017062920000,Leggett Unit 1H,Doddridge,Antero Resources Corporation,West Virginia,348869.0
7660,47017063660000,Farrow Unit 3H,Doddridge,Antero Resources Corporation,West Virginia,369383.0
7662,42003433770000,University Consolidated V 2008,Andrews,"Sheridan Production Company, LLC",Texas,14979.0
7663,17031261760000,QP 3&10-12-12 1H,De Soto,"Chesapeake Operating, Inc.",Louisiana,392857.0
7664,42329395440000,Frank Midkiff 35 #3RH,Midland,XTO Energy/ExxonMobil,Texas,387805.0
7665,33053055760000,Brenna 152-96-24C-13-1HS,McKenzie,"Petro Hunt, L.L.C.",North Dakota,32000.0
7666,34019225670000,HOLMES 26-13-5 8H,Carroll,"Chesapeake Operating, Inc.",Ohio,580794.0
7667,35029212610000,Gravitt 5H-21,Coal,"Pablo Energy II, LLC",Oklahoma,61671.0
7668,42203325170000,Britton Gas Unit #6,Harrison,BP America Production Company,Texas,2436.0
7669,42283343830000,BOBBITT UNIT II LAS A 4H,La Salle,"Chesapeake Operating, Inc.",Texas,573750.0
7670,42283343840000,BOBBITT UNIT II LAS A 5H,La Salle,"Chesapeake Operating, Inc.",Texas,575604.0
7671,47103029710000,PNG129 - 514385,Wetzel,EQT Production,West Virginia,199225.0
7672,49007244950000,Champlin 261 L 110D,Carbon,BP America Production Company,Wyoming,1421.0
7673,49007244980000,Champlin 261 L 40D,Carbon,BP America Production Company,Wyoming,1463.0
7674,34019225630000,HOLMES 26-13-5 1H,Carroll,"Chesapeake Operating, Inc.",Ohio,575449.0
7675,35037291850000,Anthis 1 SWD,Creek,Pantera Energy Company,Oklahoma,34.0
7676,35073249580000,BEYER - # 4-6H,Kingfisher,"Hinkle Oil & Gas, Inc.",Oklahoma,299847.0
7677,35123238440000,EFU #17-9,Pontotoc,Citation Oil and Gas Corp.,Oklahoma,168882.0
7678,42103364100000,King 59 #2,Crane,Apache Corporation,Texas,13522.0
7679,42303307820000,SE Stinnett Unit 701,Lubbock,"Texland Petroleum, LP",Texas,5660.0
7680,42393326320000,Hodges `204` 3HM,Roberts,MEWBOURNE OIL COMPANY,Texas,411282.983
7681,42479420600000,PGE DOS A2H,Webb,"Chesapeake Operating, Inc.",Texas,489705.0
7682,42483000000000,CHAMP - # 1023,Wheeler,Sanguine Gas Exploration,Texas,84349.0
7683,42483338490000,BRYANT 21 19H,Wheeler,"Chesapeake Operating, Inc.",Texas,233085.0
7684,47017064220000,Lettie Unit 1H,Doddridge,Antero Resources Corporation,West Virginia,569219.0
7685,42235357340000,Sugg 3072 #10,Irion,COG Operating LLC,Texas,772797.135471
